model,kind,pr_auc,average_precision,roc_auc,precision,recall,f1,mcc,brier,ece,threshold,tn,fp,fn,tp,fp_per_million,target_fp_per_million,allowed_fp
lamar_linear_probe_masked_mean,fp_workpoint,0.01208363177292438,0.006719021067133844,0.8091760146923783,0.05555555555555555,0.006060606060606061,0.01092896174863388,0.018029426849835644,0.0009942362476143872,0.0,0.022321428571428575,164983,17,164,1,103.03030303030303,500.0,82.0
lamar_linear_probe_masked_mean,fp_workpoint,0.01208363177292438,0.006719021067133844,0.8091760146923783,0.05555555555555555,0.006060606060606061,0.01092896174863388,0.018029426849835644,0.0009942362476143872,0.0,0.022321428571428575,164983,17,164,1,103.03030303030303,1000.0,165.0
lamar_linear_probe_masked_mean,fixed_threshold,0.01208363177292438,0.006719021067133844,0.8091760146923783,0.02318840579710145,0.09696969696969697,0.03742690058479532,0.04549402147858669,0.0009942362476143872,0.0,0.01,164326,674,149,16,4084.8484848484845,,
lamar_linear_probe_masked_mean,fixed_threshold,0.01208363177292438,0.006719021067133844,0.8091760146923783,0.05555555555555555,0.006060606060606061,0.01092896174863388,0.018029426849835644,0.0009942362476143872,0.0,0.05,164983,17,164,1,103.03030303030303,,
lamar_linear_probe_masked_mean,fixed_threshold,0.01208363177292438,0.006719021067133844,0.8091760146923783,0.0,0.0,0.0,0.0,0.0009942362476143872,0.0,0.1,165000,0,165,0,0.0,,
lamar_linear_probe_masked_mean,fixed_threshold,0.01208363177292438,0.006719021067133844,0.8091760146923783,0.0,0.0,0.0,0.0,0.0009942362476143872,0.0,0.2,165000,0,165,0,0.0,,
lamar_linear_probe_masked_mean,fixed_threshold,0.01208363177292438,0.006719021067133844,0.8091760146923783,0.0,0.0,0.0,0.0,0.0009942362476143872,0.0,0.5,165000,0,165,0,0.0,,
lamar_linear_probe_mean,fp_workpoint,0.012083684353611858,0.006719103706370766,0.8091765105601469,0.0,0.0,0.0,0.0,0.0009942361952102144,0.0,0.05555555555555556,165000,0,165,0,0.0,10.0,1.0
lamar_linear_probe_mean,fp_workpoint,0.012083684353611858,0.006719103706370766,0.8091765105601469,0.0,0.0,0.0,0.0,0.0009942361952102144,0.0,0.05555555555555556,165000,0,165,0,0.0,50.0,8.0
lamar_linear_probe_mean,fp_workpoint,0.012083684353611858,0.006719103706370766,0.8091765105601469,0.0,0.0,0.0,0.0,0.0009942361952102144,0.0,0.05555555555555556,165000,0,165,0,0.0,100.0,16.0
lamar_linear_probe_mean,fp_workpoint,0.012083684353611858,0.006719103706370766,0.8091765105601469,0.05555555555555555,0.006060606060606061,0.01092896174863388,0.018029426849835644,0.0009942361952102144,0.0,0.022321428571428575,164983,17,164,1,103.03030303030303,500.0,82.0
lamar_linear_probe_mean,fp_workpoint,0.012083684353611858,0.006719103706370766,0.8091765105601469,0.05555555555555555,0.006060606060606061,0.01092896174863388,0.018029426849835644,0.0009942361952102144,0.0,0.022321428571428575,164983,17,164,1,103.03030303030303,1000.0,165.0
lamar_linear_probe_mean,fixed_threshold,0.012083684353611858,0.006719103706370766,0.8091765105601469,0.02318840579710145,0.09696969696969697,0.03742690058479532,0.04549402147858669,0.0009942361952102144,0.0,0.01,164326,674,149,16,4084.8484848484845,,
lamar_linear_probe_mean,fixed_threshold,0.012083684353611858,0.006719103706370766,0.8091765105601469,0.05555555555555555,0.006060606060606061,0.01092896174863388,0.018029426849835644,0.0009942361952102144,0.0,0.05,164983,17,164,1,103.03030303030303,,
lamar_linear_probe_mean,fixed_threshold,0.012083684353611858,0.006719103706370766,0.8091765105601469,0.0,0.0,0.0,0.0,0.0009942361952102144,0.0,0.1,165000,0,165,0,0.0,,
lamar_linear_probe_mean,fixed_threshold,0.012083684353611858,0.006719103706370766,0.8091765105601469,0.0,0.0,0.0,0.0,0.0009942361952102144,0.0,0.2,165000,0,165,0,0.0,,
lamar_linear_probe_mean,fixed_threshold,0.012083684353611858,0.006719103706370766,0.8091765105601469,0.0,0.0,0.0,0.0,0.0009942361952102144,0.0,0.5,165000,0,165,0,0.0,,
kmer_logistic,fp_workpoint,0.01721524237362937,0.004352463336246793,0.7977938659320477,0.0,0.0,0.0,0.0,0.0009958627841265863,0.0,0.016393442622950824,165000,0,165,0,0.0,10.0,1.0
kmer_logistic,fp_workpoint,0.01721524237362937,0.004352463336246793,0.7977938659320477,0.0,0.0,0.0,0.0,0.0009958627841265863,0.0,0.016393442622950824,165000,0,165,0,0.0,50.0,8.0
